iter	Passed	Remaining
0	208	207827
1	214	106893
2	222	73888
3	227	56600
4	235	46818
5	240	39784
6	244	34633
7	248	30782
8	250	27583
9	252	25003
10	254	22897
11	256	21118
12	258	19602
13	260	18375
14	262	17258
15	264	16250
16	265	15367
17	267	14570
18	268	13865
19	269	13224
20	271	12645
21	272	12107
22	273	11637
23	275	11206
24	276	10790
25	277	10404
26	278	10044
27	279	9710
28	280	9404
29	281	9112
30	282	8839
31	283	8582
32	284	8341
33	285	8116
34	286	7901
35	288	7712
36	289	7537
37	290	7360
38	291	7190
39	293	7036
40	294	6881
41	295	6731
42	295	6587
43	296	6451
44	297	6321
45	298	6196
46	299	6076
47	300	5962
48	301	5855
49	303	5768
50	304	5671
51	305	5574
52	309	5525
53	310	5434
54	311	5345
55	312	5259
56	312	5177
57	313	5098
58	314	5021
59	315	4949
60	317	4882
61	318	4823
62	319	4759
63	321	4696
64	322	4632
65	323	4572
66	324	4515
67	325	4462
68	327	4412
69	328	4362
70	329	4307
71	330	4258
72	332	4222
73	333	4176
74	335	4133
75	336	4090
76	337	4044
77	338	3998
78	339	3954
79	340	3911
80	340	3868
81	342	3829
82	342	3785
83	367	4005
84	369	3976
85	371	3948
86	373	3920
87	376	3906
88	382	3919
89	385	3894
90	387	3868
91	389	3843
92	391	3815
93	392	3786
94	394	3761
95	396	3731
96	397	3701
97	399	3675
98	400	3644
99	401	3613
100	402	3583
101	403	3555
102	405	3529
103	406	3500
104	407	3475
105	408	3449
106	409	3421
107	410	3393
108	411	3367
109	413	3342
110	414	3316
111	415	3292
112	416	3267
113	417	3243
114	418	3219
115	419	3195
116	420	3171
117	421	3149
118	424	3139
119	425	3117
120	426	3095
121	426	3071
122	427	3050
123	429	3031
124	430	3011
125	431	2990
126	431	2969
127	443	3019
128	444	3001
129	445	2983
130	447	2967
131	448	2951
132	450	2936
133	451	2919
134	455	2916
135	456	2900
136	458	2885
137	459	2868
138	460	2851
139	461	2835
140	462	2819
141	463	2800
142	464	2784
143	465	2768
144	467	2753
145	468	2741
146	470	2730
147	474	2730
148	475	2715
149	476	2700
150	477	2685
151	478	2671
152	497	2753
153	498	2738
154	499	2723
155	501	2715
156	503	2704
157	504	2690
158	505	2675
159	506	2660
160	507	2646
161	508	2632
162	509	2618
163	510	2604
164	511	2590
165	513	2577
166	513	2563
167	515	2553
168	517	2543
169	518	2530
170	519	2517
171	520	2503
172	521	2491
173	522	2478
174	522	2465
175	523	2452
176	524	2440
177	525	2427
178	526	2415
179	527	2403
180	528	2391
181	530	2383
182	531	2374
183	532	2362
184	533	2350
185	534	2338
186	535	2327
187	536	2316
188	537	2305
189	538	2294
190	539	2283
191	540	2272
192	541	2262
193	541	2251
194	542	2240
195	544	2234
196	546	2225
197	547	2215
198	547	2205
199	548	2195
200	549	2185
201	550	2176
202	551	2166
203	552	2156
204	553	2146
205	554	2137
206	555	2127
207	556	2118
208	557	2109
209	558	2100
210	559	2093
211	561	2086
212	562	2077
213	563	2069
214	564	2061
215	565	2053
216	566	2045
217	567	2036
218	568	2027
219	569	2018
220	570	2010
221	571	2002
222	573	1997
223	574	1990
224	575	1983
225	576	1975
226	578	1968
227	579	1961
228	580	1953
229	581	1945
230	582	1937
231	582	1929
232	583	1922
233	584	1914
234	585	1906
235	586	1899
236	588	1894
237	589	1888
238	590	1881
239	591	1873
240	592	1866
241	593	1859
242	594	1851
243	595	1844
244	596	1837
245	597	1830
246	597	1822
247	598	1816
248	599	1809
249	600	1802
250	602	1797
251	603	1792
252	604	1785
253	605	1778
254	606	1772
255	607	1765
256	608	1758
257	609	1751
258	609	1745
259	610	1738
260	611	1732
261	612	1726
262	614	1720
263	615	1714
264	616	1710
265	617	1704
266	618	1698
267	619	1692
268	620	1686
269	621	1680
270	622	1674
271	623	1668
272	624	1662
273	625	1656
274	625	1650
275	627	1645
276	628	1639
277	629	1634
278	630	1629
279	631	1624
280	632	1618
281	633	1613
282	634	1607
283	635	1601
284	636	1596
285	637	1590
286	638	1585
287	639	1579
288	640	1575
289	641	1569
290	642	1564
291	642	1559
292	644	1553
293	645	1550
294	647	1546
295	648	1541
296	649	1537
297	650	1532
298	651	1527
299	652	1522
300	653	1517
301	654	1512
302	655	1507
303	656	1502
304	657	1497
305	658	1492
306	659	1487
307	660	1484
308	661	1480
309	662	1475
310	663	1470
311	664	1465
312	665	1460
313	666	1455
314	667	1450
315	668	1446
316	668	1441
317	669	1436
318	670	1432
319	671	1427
320	672	1422
321	674	1419
322	675	1415
323	676	1411
324	677	1406
325	678	1402
326	679	1397
327	680	1393
328	680	1388
329	681	1384
330	682	1380
331	683	1375
332	684	1371
333	685	1367
334	686	1362
335	687	1358
336	688	1355
337	690	1351
338	691	1347
339	692	1343
340	693	1339
341	693	1335
342	694	1330
343	695	1326
344	696	1322
345	697	1318
346	698	1314
347	699	1310
348	700	1306
349	701	1302
350	702	1298
351	703	1295
352	704	1291
353	705	1287
354	706	1283
355	707	1279
356	708	1275
357	709	1273
358	711	1269
359	712	1266
360	713	1262
361	714	1259
362	715	1255
363	716	1251
364	717	1248
365	718	1245
366	719	1241
367	720	1238
368	721	1234
369	722	1230
370	723	1227
371	724	1223
372	725	1219
373	726	1216
374	727	1212
375	728	1208
376	729	1205
377	730	1201
378	731	1197
379	732	1195
380	734	1193
381	735	1189
382	736	1186
383	737	1183
384	738	1180
385	739	1176
386	740	1173
387	741	1170
388	742	1166
389	743	1162
390	744	1159
391	745	1156
392	746	1153
393	748	1150
394	749	1147
395	750	1144
396	751	1140
397	752	1137
398	753	1134
399	753	1130
400	754	1127
401	755	1124
402	756	1120
403	757	1117
404	758	1114
405	759	1111
406	760	1107
407	761	1105
408	763	1102
409	764	1099
410	765	1096
411	766	1093
412	767	1090
413	767	1087
414	768	1083
415	769	1080
416	770	1077
417	771	1074
418	772	1071
419	773	1067
420	774	1064
421	775	1061
422	779	1062
423	780	1059
424	781	1056
425	781	1053
426	782	1050
427	783	1047
428	784	1044
429	785	1041
430	786	1038
431	787	1035
432	788	1032
433	789	1029
434	790	1027
435	791	1024
436	792	1021
437	793	1018
438	794	1015
439	795	1012
440	796	1009
441	797	1006
442	798	1003
443	799	1000
444	800	998
445	801	995
446	802	992
447	803	989
448	804	987
449	805	984
450	806	982
451	807	979
452	808	976
453	809	973
454	810	970
455	811	968
456	812	965
457	813	962
458	814	959
459	815	956
460	816	954
461	817	951
462	817	948
463	819	946
464	821	944
465	822	942
466	823	939
467	824	937
468	825	934
469	826	931
470	827	929
471	828	926
472	829	923
473	830	921
474	831	918
475	832	916
476	833	914
477	835	912
478	836	909
479	837	906
480	838	904
481	838	901
482	839	898
483	840	896
484	841	893
485	842	891
486	843	888
487	844	885
488	845	883
489	846	880
490	846	877
491	847	875
492	849	873
493	850	871
494	851	868
495	852	866
496	853	863
497	854	860
498	855	858
499	855	855
500	856	853
501	857	850
502	858	848
503	859	845
504	860	843
505	861	841
506	864	840
507	865	838
508	866	836
509	867	833
510	869	831
511	870	829
512	871	827
513	872	825
514	873	823
515	874	820
516	875	818
517	876	815
518	878	813
519	879	811
520	880	809
521	881	806
522	881	804
523	882	801
524	883	799
525	884	797
526	885	794
527	886	792
528	887	790
529	888	787
530	889	785
531	890	783
532	891	780
533	892	779
534	894	777
535	895	774
536	895	772
537	896	770
538	897	767
539	898	765
540	899	763
541	900	761
542	901	758
543	902	756
544	903	754
545	904	751
546	905	750
547	907	748
548	908	746
549	909	744
550	910	741
551	911	739
552	912	737
553	913	735
554	914	733
555	915	730
556	916	728
557	917	726
558	917	724
559	918	721
560	919	719
561	921	717
562	922	716
563	923	714
564	925	712
565	926	710
566	927	708
567	928	706
568	929	703
569	930	701
570	931	699
571	932	697
572	932	695
573	933	693
574	934	690
575	936	689
576	938	687
577	939	685
578	939	683
579	940	681
580	941	679
581	942	677
582	943	674
583	944	672
584	945	670
585	946	668
586	947	666
587	948	664
588	949	662
589	950	660
590	952	659
591	953	657
592	954	654
593	955	652
594	956	650
595	957	648
596	957	646
597	958	644
598	959	642
599	960	640
600	961	638
601	962	636
602	963	634
603	964	632
604	965	630
605	966	628
606	968	626
607	968	624
608	969	622
609	970	620
610	971	618
611	972	616
612	973	614
613	974	612
614	975	610
615	976	608
616	977	606
617	977	604
